iter	Logloss
0	0.6796894352
1	0.666876257
2	0.6552487368
3	0.6437997316
4	0.6335011464
5	0.62412272
6	0.6151732988
7	0.6066319856
8	0.5986319451
9	0.5914853331
10	0.5844518299
11	0.577641536
12	0.5711014605
13	0.5652507688
14	0.5596207459
15	0.5545606455
16	0.5498356057
17	0.5450798777
18	0.5411849118
19	0.5372606669
20	0.5338076878
21	0.5304221102
22	0.5271610319
23	0.5239873091
24	0.521350751
25	0.5186664421
26	0.5161563787
27	0.5137043216
28	0.5114044162
29	0.5090407128
30	0.5068661581
31	0.5049189323
