iter	Passed	Remaining
0	24	24234
1	45	22824
2	67	22558
3	90	22488
4	112	22430
5	133	22166
6	154	21970
7	174	21603
8	193	21283
9	214	21208
10	238	21442
11	260	21420
12	281	21383
13	302	21339
14	325	21406
15	349	21467
16	372	21561
17	395	21583
18	416	21502
19	438	21486
20	460	21490
21	483	21484
22	504	21448
23	526	21427
24	548	21395
25	569	21339
26	588	21206
27	609	21157
28	630	21103
29	651	21062
30	673	21039
31	694	20995
32	716	21008
33	739	21001
34	759	20937
35	781	20917
36	804	20941
37	824	20860
38	843	20773
39	864	20758
40	887	20748
41	910	20763
42	931	20734
43	953	20708
