iter	Passed	Remaining
0	41	41638
1	83	41499
2	124	41391
3	164	40881
4	209	41703
5	254	42205
6	300	42649
7	345	42798
8	385	42502
9	425	42155
10	469	42195
11	515	42457
12	557	42340
13	602	42444
14	645	42381
15	688	42363
16	732	42372
17	774	42260
18	815	42085
19	855	41930
20	894	41715
21	936	41648
22	977	41542
23	1018	41429
24	1058	41273
25	1098	41150
26	1140	41116
27	1179	40954
28	1218	40791
29	1260	40750
30	1304	40777
31	1345	40714
32	1383	40547
33	1425	40494
34	1469	40520
35	1515	40587
36	1557	40547
37	1602	40566
38	1645	40554
39	1683	40400
40	1723	40314
41	1761	40177
42	1795	39970
43	1833	39846
44	1872	39745
45	1914	39704
46	1957	39684
47	1997	39614
48	2043	39654
49	2087	39663
50	2132	39679
51	2161	39399
